ORDER,FAMILY,SCIENTIFIC NAME,COMMON NAME,FRENCH NAME,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Luxilus cornutus,common shiner,méné à nageoires rouges,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Lythrurus umbratilis,redfin shiner,méné d'ombre,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Macrhybopsis storeriana,silver chub,méné à grandes écailles,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Margariscus nachtriebi,northern pearl dace,mulet perlé du nord,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Mylocheilus caurinus,peamouth,méné deux-barres,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notemigonus crysoleucas,golden shiner,méné jaune,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis anogenus,pugnose shiner,méné camus,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis atherinoides,emerald shiner,méné émeraude,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis bifrenatus,bridle shiner,méné d'herbe,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis blennius,river shiner,méné de rivière,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis buchanani,ghost shiner,méné fantôme,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis dorsalis,bigmouth shiner,méné à grande bouche,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis heterodon,blackchin shiner,menton noir,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis heterolepis,blacknose shiner,museau noir,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis hudsonius,spottail shiner,queue à tache noire,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis percobromus,carmine shiner,tête carminée,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis photogenis,silver shiner,méné-miroir,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis rubellus,rosyface shiner,tête rose,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis stramineus,sand shiner,méné paille,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis texanus,weed shiner,méné diamant,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Notropis volucellus,mimic shiner,méné pâle,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Opsopoeodus emiliae,pugnose minnow,petit-bec,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Pimephales notatus,bluntnose minnow,ventre-pourri,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Pimephales promelas,fathead minnow,tête-de-boule,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Platygobio gracilis,flathead chub,mene a tete plate,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Ptychocheilus oregonensis,northern pikeminnow,sauvagesse du nord,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinichthys atratulus,eastern blacknose dace,naseux noir d'est,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinichthys cataractae,longnose dace,naseux des rapides,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinichthys falcatus,leopard dace,naseux leopard,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinichthys obtusus,western blacknose dace,naseux noir d'ouest,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinichthys osculus,speckled dace,naseux moucheté,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinichthys umatilla,Umatilla dace,naseux d'Umatilla,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Richardsonius balteatus,redside shiner,méné rose,,,,,,,,,,,,,,,,,,,,,,
